ncells_spp,species_id
78,Fis_61410
40,Fis_61506
5011,Fis_61508
2229,Fis_61614
3123,Fis_61628
7590,Fis_61691
109,Fis_64122
251,Fis_6652
1552,Fis_8339
17343,ITS_Mam_180417
1417,ITS_Mam_180419
21809,ITS_Mam_180426
12702,ITS_Mam_180429
17105,ITS_Mam_180430
20441,ITS_Mam_180434
4714,ITS_Mam_180438
16814,ITS_Mam_180440
8992,ITS_Mam_180445
4765,ITS_Mam_180447
59,ITS_Mam_180449
19,ITS_Mam_180451
9722,ITS_Mam_180455
21707,ITS_Mam_180457
12060,ITS_Mam_180459
13920,ITS_Mam_180461
20286,ITS_Mam_180463
19056,ITS_Mam_180466
23366,ITS_Mam_180469
317,ITS_Mam_180471
5776,ITS_Mam_180475
591,ITS_Mam_180478
23169,ITS_Mam_180488
20329,ITS_Mam_180491
17411,ITS_Mam_180492
12594,ITS_Mam_180495
22113,ITS_Mam_180498
2494,ITS_Mam_180500
17227,ITS_Mam_180502
12626,ITS_Mam_180505
8137,ITS_Mam_180507
9826,ITS_Mam_180508
17379,ITS_Mam_180510
12607,ITS_Mam_180511
12660,ITS_Mam_180513
12616,ITS_Mam_180516
20328,ITS_Mam_180517
23183,ITS_Mam_180524
20759,ITS_Mam_180525
18311,ITS_Mam_180526
23281,ITS_Mam_180527
22909,ITS_Mam_180528
23311,ITS_Mam_180530
10477,ITS_Mam_180535
12522,ITS_Mam_552461
12688,ITS_Mam_552771
2800,ITS_Mam_555654
12553,ITS_Mam_612592
2651,ITS_Mam_612596
20478,ITS_Mam_612597
208,ITS_Mam_771132
18890,Rep_2666
2283,Rep_2941
23020,Rep_4381
2386,Rep_5181
1502,Rep_6936
612,Rep_8732
