species_id,gear,encount_prob,E_scaled
ITS-Mam-180471,GND,0.75,2.4998343822457767
ITS-Mam-180471,PST,0.05357142857142857,1.111123623754701
ITS-Mam-180471,LLT,0.0375,1.0749037986351344
ITS-Mam-771132,GND,1,3
ITS-Mam-771132,PST,0.07142857142857142,1.1482874846792863
ITS-Mam-771132,LLT,0.05,1.0999050480035093
ITS-Mam-180419,GND,0.8,2.599867505796621
ITS-Mam-180419,PST,0.08928571428571429,1.1854513456038718
ITS-Mam-180419,LLT,0.0625,1.1249062973718842
Rep-2666,GND,0.5,1.9996687644915534
Rep-2666,PST,0.14285714285714285,1.2969429283776281
Rep-2666,LLT,0.1,1.1999100454770089
ITS-Mam-180451,GND,0.4,1.7996025173898642
ITS-Mam-180451,PST,0.17857142857142858,1.371270650226799
ITS-Mam-180451,LLT,0.125,1.2499125442137586
ITS-Mam-180478,GND,0.4,1.7996025173898642
ITS-Mam-180478,PST,0.17857142857142858,1.371270650226799
ITS-Mam-180478,LLT,0.125,1.2499125442137586
ITS-Mam-612596,GND,0.4,1.7996025173898642
ITS-Mam-612596,PST,0.17857142857142858,1.371270650226799
ITS-Mam-612596,LLT,0.125,1.2499125442137586
ITS-Mam-180449,GND,0.4,1.7996025173898642
ITS-Mam-180449,PST,0.17857142857142858,1.371270650226799
ITS-Mam-180449,LLT,0.125,1.2499125442137586
Fis-32599,GND,0.26159420289855073,1.522699233357816
Fis-32599,PST,0.24642857142857144,1.5124933217402237
Fis-32599,LLT,0.1725,1.3449172918135832
Rep-2941,GND,0.21052631578947367,1.420529628144558
Rep-2941,PST,0.3392857142857143,1.705745398548068
Rep-2941,LLT,0.2375,1.4749237885291326
Rep-6936,GND,0.21052631578947367,1.420529628144558
Rep-6936,PST,0.3392857142857143,1.705745398548068
Rep-6936,LLT,0.2375,1.4749237885291326
Rep-8732,GND,0.21052631578947367,1.420529628144558
Rep-8732,PST,0.3392857142857143,1.705745398548068
Rep-8732,LLT,0.2375,1.4749237885291326
ITS-Mam-612592,GND,0.2,1.3994700231864856
ITS-Mam-612592,PST,0.35714285714285715,1.7429092594726532
ITS-Mam-612592,LLT,0.25,1.4999250378975075
ITS-Mam-180535,GND,0.2,1.3994700231864856
ITS-Mam-180535,PST,0.35714285714285715,1.7429092594726532
ITS-Mam-180535,LLT,0.25,1.4999250378975075
Fis-23051,GND,0.14896907216494845,1.2973743610057267
Fis-23051,PST,0.3464285714285714,1.7206109429179022
Fis-23051,LLT,0.2425,1.4849242882764826
Fis-23060,GND,0.14896907216494845,1.2973743610057267
Fis-23060,PST,0.3464285714285714,1.7206109429179022
Fis-23060,LLT,0.2425,1.4849242882764826
ITS-Mam-555654,GND,0.2,1.3994700231864856
ITS-Mam-555654,PST,0.35714285714285715,1.7429092594726532
ITS-Mam-555654,LLT,0.25,1.4999250378975075
ITS-Mam-180430,GND,0.2,1.3994700231864856
ITS-Mam-180430,PST,0.35714285714285715,1.7429092594726532
ITS-Mam-180430,LLT,0.25,1.4999250378975075
ITS-Mam-180417,GND,0.2,1.3994700231864856
ITS-Mam-180417,PST,0.35714285714285715,1.7429092594726532
ITS-Mam-180417,LLT,0.25,1.4999250378975075
Fis-159132,GND,0.11138613861386136,1.222183596299345
Fis-159132,PST,0.3607142857142857,1.7503420316575704
Fis-159132,LLT,0.2525,1.5049252877711825
Fis-23201,GND,0.10714285714285714,1.2136942223063456
Fis-23201,PST,0.375,1.7800731203972386
Fis-23201,LLT,0.2625,1.5249262872658824
Rep-5181,GND,0.14285714285714285,1.2851464534140917
Rep-5181,PST,0.5,2.040220146869337
Rep-5181,LLT,0.35,1.6999350328445064
Fis-164471,GND,0.08652694610778443,1.1724487427926524
Fis-164471,PST,0.5964285714285714,2.240904995862098
Fis-164471,LLT,0.4175,1.8349417794337306
ITS-Mam-552771,GND,0.11428571428571428,1.2279846685278948
ITS-Mam-552771,PST,0.625,2.3003671733414346
ITS-Mam-552771,LLT,0.4375,1.8749437784231304
ITS-Mam-180530,GND,0.1,1.1994037760847962
ITS-Mam-180530,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180530,LLT,0.5,1.9999500252650049
Fis-23277,GND,0.05769230769230769,1.114760363849466
Fis-23277,PST,0.6964285714285714,2.4490226170397764
Fis-23277,LLT,0.4875,1.97494877589663
ITS-Mam-180438,GND,0.1,1.1994037760847962
ITS-Mam-180438,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180438,LLT,0.5,1.9999500252650049
ITS-Mam-180447,GND,0.1,1.1994037760847962
ITS-Mam-180447,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180447,LLT,0.5,1.9999500252650049
ITS-Mam-180445,GND,0.1,1.1994037760847962
ITS-Mam-180445,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180445,LLT,0.5,1.9999500252650049
ITS-Mam-180455,GND,0.1,1.1994037760847962
ITS-Mam-180455,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180455,LLT,0.5,1.9999500252650049
ITS-Mam-180426,GND,0.1,1.1994037760847962
ITS-Mam-180426,PST,0.7142857142857143,2.486186477964362
ITS-Mam-180426,LLT,0.5,1.9999500252650049
Fis-23061,GND,0.07882096069868995,1.1570316669824734
Fis-23061,PST,0.8178571428571428,2.7017368713269576
Fis-23061,LLT,0.5725,2.1449572716015792
ITS-Mam-180528,GND,0.08,1.1593905266644584
ITS-Mam-180528,PST,0.8928571428571429,2.857825087210216
ITS-Mam-180528,LLT,0.625,2.2499625189487533
ITS-Mam-180527,GND,0.08,1.1593905266644584
