Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Lines_Longlines,-0.25_84.75,-0.25,84.75,130.405150830403,130.405150830403
Lines_Longlines,-0.25_85.25,-0.25,85.25,101.542595916167,101.542595916167
Lines_Longlines,-0.25_85.75,-0.25,85.75,76.725208793229,76.725208793229
Lines_Longlines,-0.25_86.25,-0.25,86.25,104.040515366128,104.040515366128
Lines_Longlines,-0.25_86.75,-0.25,86.75,107.582766948409,107.582766948409
Lines_Longlines,-0.25_87.25,-0.25,87.25,92.8432664877255,92.8432664877255
Lines_Longlines,-0.25_87.75,-0.25,87.75,67.9482149062469,67.9482149062469
Lines_Longlines,-0.25_88.25,-0.25,88.25,70.0502897086773,70.0502897086773
Lines_Longlines,-0.25_88.75,-0.25,88.75,94.7613239785456,94.7613239785456
Lines_Longlines,-0.25_89.25,-0.25,89.25,89.7561782914648,89.7561782914648
Lines_Longlines,-0.25_89.75,-0.25,89.75,111.715993024295,111.715993024295
Lines_Longlines,-0.25_90.25,-0.25,90.25,133.922060380491,133.922060380491
Lines_Longlines,-0.25_90.75,-0.25,90.75,112.735142342479,112.735142342479
Lines_Longlines,-0.25_91.25,-0.25,91.25,79.0419329323974,79.0419329323974
Lines_Longlines,-0.25_91.75,-0.25,91.75,89.6105392617001,89.6105392617001
Lines_Longlines,-0.25_92.25,-0.25,92.25,81.4268610443655,81.4268610443655
Lines_Longlines,-0.25_92.75,-0.25,92.75,127.381700955311,127.381700955311
Lines_Longlines,-0.25_93.25,-0.25,93.25,337.800184921283,337.800184921283
Lines_Longlines,-0.25_93.75,-0.25,93.75,830.710658347949,830.710658347949
Lines_Longlines,-0.25_94.25,-0.25,94.25,578.648338272379,578.648338272379
Lines_Longlines,-0.25_94.75,-0.25,94.75,507.940756126031,507.940756126031
Lines_Longlines,-0.25_95.25,-0.25,95.25,374.975447641123,374.975447641123
Lines_Longlines,-0.25_95.75,-0.25,95.75,392.986480910869,392.986480910869
Lines_Longlines,-0.25_96.25,-0.25,96.25,374.473212475989,374.473212475989
Lines_Longlines,-0.25_96.75,-0.25,96.75,262.492015863223,262.492015863223
Lines_Longlines,-0.25_97.25,-0.25,97.25,3222.14640692468,3222.14640692468
Lines_Longlines,-0.25_97.75,-0.25,97.75,15177.4541004951,12747.2444867368
Lines_Longlines,-0.25_98.25,-0.25,98.25,26157.896032237,12747.2444867368
Lines_Longlines,-0.25_98.75,-0.25,98.75,24698.9024313122,12747.2444867368
Lines_Longlines,-0.25_99.25,-0.25,99.25,22507.7472355359,12747.2444867368
Lines_Longlines,-0.25_99.75,-0.25,99.75,22824.7804134048,12747.2444867368
Lines_Longlines,-0.75_45.75,-0.75,45.75,10.1567136723988,10.1567136723988
Lines_Longlines,-0.75_46.25,-0.75,46.25,68.1993560785458,68.1993560785458
Lines_Longlines,-0.75_46.75,-0.75,46.75,162.462584672824,162.462584672824
Lines_Longlines,-0.75_47.25,-0.75,47.25,159.498150875802,159.498150875802
