Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Seine_Purse_Seine,-0.25_82.75,-0.25,82.75,345.265475591013,345.265475591013
Seine_Purse_Seine,-0.25_83.25,-0.25,83.25,331.270949274609,331.270949274609
Seine_Purse_Seine,-0.25_83.75,-0.25,83.75,301.262495590866,301.262495590866
Seine_Purse_Seine,-0.25_84.25,-0.25,84.25,429.922747178432,429.922747178432
Seine_Purse_Seine,-0.25_84.75,-0.25,84.75,273.757084775437,273.757084775437
Seine_Purse_Seine,-0.25_85.25,-0.25,85.25,270.190124417653,270.190124417653
Seine_Purse_Seine,-0.25_85.75,-0.25,85.75,202.948402891943,202.948402891943
Seine_Purse_Seine,-0.25_86.25,-0.25,86.25,195.195790616728,195.195790616728
Seine_Purse_Seine,-0.25_86.75,-0.25,86.75,271.159057326858,271.159057326858
Seine_Purse_Seine,-0.25_87.25,-0.25,87.25,321.594859949915,321.594859949915
Seine_Purse_Seine,-0.25_87.75,-0.25,87.75,238.199113344027,238.199113344027
Seine_Purse_Seine,-0.25_88.25,-0.25,88.25,283.613429072703,283.613429072703
Seine_Purse_Seine,-0.25_88.75,-0.25,88.75,314.243863928101,314.243863928101
Seine_Purse_Seine,-0.25_89.25,-0.25,89.25,436.600372999533,436.600372999533
Seine_Purse_Seine,-0.25_89.75,-0.25,89.75,531.76236411414,531.76236411414
Seine_Purse_Seine,-0.25_90.25,-0.25,90.25,482.717299701437,482.717299701437
Seine_Purse_Seine,-0.25_90.75,-0.25,90.75,535.363468327357,535.363468327357
Seine_Purse_Seine,-0.25_91.25,-0.25,91.25,311.071894394306,311.071894394306
Seine_Purse_Seine,-0.25_91.75,-0.25,91.75,266.568495847923,266.568495847923
Seine_Purse_Seine,-0.25_92.25,-0.25,92.25,315.472348482846,315.472348482846
Seine_Purse_Seine,-0.25_92.75,-0.25,92.75,427.121541087347,427.121541087347
Seine_Purse_Seine,-0.25_93.25,-0.25,93.25,867.193104339482,867.193104339482
Seine_Purse_Seine,-0.25_93.75,-0.25,93.75,1685.63270684351,1685.63270684351
Seine_Purse_Seine,-0.25_94.25,-0.25,94.25,807.424565099355,807.424565099355
Seine_Purse_Seine,-0.25_94.75,-0.25,94.75,225.45300263784,225.45300263784
Seine_Purse_Seine,-0.25_95.25,-0.25,95.25,91.2883981668685,91.2883981668685
Seine_Purse_Seine,-0.25_95.75,-0.25,95.75,69.4045531094785,69.4045531094785
Seine_Purse_Seine,-0.25_96.25,-0.25,96.25,66.1440117474195,66.1440117474195
Seine_Purse_Seine,-0.25_96.75,-0.25,96.75,45.7700033959019,45.7700033959019
Seine_Purse_Seine,-0.25_97.25,-0.25,97.25,1777.975075298,1777.975075298
Seine_Purse_Seine,-0.25_97.75,-0.25,97.75,9815.25323119386,5806.00996302426
Seine_Purse_Seine,-0.25_98.25,-0.25,98.25,21272.4304321373,5806.00996302426
Seine_Purse_Seine,-0.25_98.75,-0.25,98.75,24612.7709833387,5806.00996302426
Seine_Purse_Seine,-0.25_99.25,-0.25,99.25,23385.1612507016,5806.00996302426
Seine_Purse_Seine,-0.25_99.75,-0.25,99.75,20156.5591275305,5806.00996302426
Seine_Purse_Seine,-0.75_45.75,-0.75,45.75,28.9455619424368,28.9455619424368
Seine_Purse_Seine,-0.75_46.25,-0.75,46.25,105.287611339345,105.287611339345
