species_id,sumA,ncells_overlap,GEAR,A_scaled
Fis_125906,11.41566628916189,73,GND,1.0194516935395572
Fis_131127,78.84709600541737,364,GND,1.1343640101396266
Fis_131407,14.80967632890679,195,GND,1.0252355477136732
Fis_131465,53.102162471470365,322,GND,1.0904911460234519
Fis_131805,3.3606313162017614,37,GND,1.005724819692564
Fis_131815,226.98672208189964,309,GND,1.386814057311219
Fis_131821,12.66587209858153,119,GND,1.0215822140756308
Fis_131829,8.878263793420047,41,GND,1.0151276149880653
Fis_131831,1.7144316716585308,39,GND,1.0029194718668295
Fis_131843,66.85924166642332,492,GND,1.1139350778308412
Fis_131844,37.00433360080933,349,GND,1.0630582587846218
Fis_131852,22.991434175935524,1492,GND,1.0391783745530132
Fis_132130,61.4300002027303,83,GND,1.104682912830049
Fis_132518,0.006179129588417709,4,GND,1.0000083774740034
Fis_132520,5.6769524093251675,199,GND,1.0096721455007287
Fis_132528,44.401843354224184,261,GND,1.0756646203346214
Fis_132543,2.0984314731904306,25,GND,1.003573859693896
Fis_132550,16.722423191944245,298,GND,1.0284951282093864
Fis_132559,6.391891380655579,64,GND,1.0108904986302552
Fis_139820,8.61389950546436,257,GND,1.0146771023282695
Fis_140161,205.0879380492879,389,GND,1.349495554433541
Fis_140634,11.581676496085493,1835,GND,1.0197345974841587
Fis_140639,37.92774819673454,7794,GND,1.064631882699265
Fis_140641,5.679696167364568,1069,GND,1.0096768212371594
Fis_140692,16.035820629671434,2934,GND,1.0273250641703127
Fis_142376,1.7297121025476372,21,GND,1.0029455117968666
Fis_144985,34.75565625479794,156,GND,1.0592262071107421
Fis_146573,105.8205551437417,7780,GND,1.1803304487772899
Fis_146574,24.32229194665993,2496,GND,1.0414463369874842
Fis_148497,291.7460775319487,354,GND,1.4971727963681567
Fis_149485,64.03995590718114,401,GND,1.1091306319053233
Fis_154008,30.573996971026645,252,GND,1.0521000916249466
Fis_154010,148.9455730454065,212,GND,1.2538213376899585
Fis_154012,17.05319698727544,143,GND,1.0290588116912887
Fis_154456,464.34197247692646,803,GND,1.7912996480046481
Fis_156398,158.70451524900272,549,GND,1.2704519009287962
Fis_15849,46.51642488235484,254,GND,1.0792681545183054
Fis_159132,4.966549401753582,203,GND,1.0084615222696447
Fis_159136,21.868844462675042,355,GND,1.0372653291810703
Fis_159582,513.1001152864701,987,GND,1.8743901470039748
Fis_159583,431.8365393166905,902,GND,1.7359059741310692
Fis_159584,208.5454062029603,502,GND,1.3553875498543897
Fis_159586,16.154297898538147,2833,GND,1.027526965531254
Fis_160267,140.19602130724525,515,GND,1.2389109129269804
Fis_160378,223.2155095950584,893,GND,1.3803873989253956
Fis_160439,402.1858900641139,4166,GND,1.685377239850231
Fis_160444,404.2019041016538,7727,GND,1.6888128016398414
Fis_160464,11.275699979436467,340,GND,1.0192131719337691
Fis_160691,92.0904302932322,223,GND,1.1569324508345014
Fis_160851,10.5633416280034,289,GND,1.0179992165311174
Fis_160854,11.409176980843768,284,GND,1.0194406348766294
Fis_160862,0.8052863581106067,24,GND,1.0013701647477977
Fis_160879,33.033142044407214,290,GND,1.0562908088976917
Fis_160881,0.17571364878676832,9,GND,1.0002972873254887
Fis_160886,2.8078548996709287,125,GND,1.0047828135857273
Fis_160887,0.9403231325413799,72,GND,1.0016002857557806
Fis_160925,0.038236750557189225,10,GND,1.0000630080150688
Fis_160938,1.3649514814756003,287,GND,1.0023239101468906
Fis_161155,119.5920252726064,556,GND,1.2037989046910313
Fis_161159,50.82824576093117,242,GND,1.0866160830437228
