species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_125906,11.41566628916189,73,GND,1.0194516935395572,73,1,3
Fis_131127,78.84709600541737,364,GND,1.1343640101396266,556,0.6546762589928058,2
Fis_131407,14.80967632890679,195,GND,1.0252355477136732,212,0.9198113207547169,3
Fis_131465,53.102162471470365,322,GND,1.090491146023452,370,0.8702702702702703,3
Fis_131805,3.360631316201762,37,GND,1.005724819692564,37,1,3
Fis_131815,226.98672208189964,309,GND,1.386814057311219,355,0.8704225352112676,3
Fis_131821,12.66587209858153,119,GND,1.0215822140756308,119,1,3
Fis_131829,8.878263793420047,41,GND,1.0151276149880653,41,1,3
Fis_131831,1.7144316716585308,39,GND,1.0029194718668295,39,1,3
Fis_131843,66.85924166642332,492,GND,1.1139350778308412,723,0.6804979253112033,3
Fis_131844,37.00433360080933,349,GND,1.0630582587846218,486,0.7181069958847737,3
Fis_131852,22.991434175935524,1492,GND,1.0391783745530132,1519,0.9822251481237656,3
Fis_132130,61.4300002027303,83,GND,1.104682912830049,108,0.7685185185185185,3
Fis_132518,0.0061791295884177,4,GND,1.0000083774740034,4,1,3
Fis_132520,5.6769524093251675,199,GND,1.0096721455007287,203,0.9802955665024631,3
Fis_132528,44.401843354224184,261,GND,1.0756646203346214,407,0.6412776412776413,2
Fis_132543,2.0984314731904306,25,GND,1.003573859693896,25,1,3
Fis_132550,16.722423191944245,298,GND,1.0284951282093864,478,0.6234309623430963,2
Fis_132559,6.391891380655579,64,GND,1.0108904986302552,64,1,3
Fis_139820,8.61389950546436,257,GND,1.0146771023282697,296,0.8682432432432432,3
Fis_140161,205.0879380492879,389,GND,1.349495554433541,639,0.6087636932707355,2
Fis_140634,11.581676496085493,1835,GND,1.0197345974841587,1868,0.9823340471092077,3
Fis_140639,37.92774819673454,7794,GND,1.064631882699265,7848,0.9931192660550459,3
Fis_140641,5.679696167364568,1069,GND,1.0096768212371594,1084,0.9861623616236163,3
Fis_140692,16.035820629671434,2934,GND,1.0273250641703129,2978,0.9852249832102082,3
Fis_142376,1.7297121025476372,21,GND,1.0029455117968666,21,1,3
Fis_144985,34.75565625479794,156,GND,1.059226207110742,160,0.975,3
Fis_146573,105.8205551437417,7780,GND,1.18033044877729,7929,0.9812082229789381,3
Fis_146574,24.32229194665993,2496,GND,1.0414463369874842,2585,0.9655705996131528,3
Fis_148497,291.7460775319487,354,GND,1.4971727963681567,445,0.7955056179775281,3
Fis_149485,64.03995590718114,401,GND,1.1091306319053231,415,0.9662650602409638,3
Fis_154008,30.573996971026645,252,GND,1.0521000916249466,348,0.7241379310344828,3
Fis_154010,148.9455730454065,212,GND,1.2538213376899583,255,0.8313725490196079,3
Fis_154012,17.05319698727544,143,GND,1.0290588116912889,224,0.6383928571428571,2
Fis_154456,464.34197247692646,803,GND,1.791299648004648,1074,0.7476722532588455,3
Fis_156398,158.70451524900272,549,GND,1.2704519009287962,610,0.9,3
Fis_15849,46.51642488235484,254,GND,1.0792681545183054,381,0.6666666666666666,2
Fis_159132,4.966549401753582,203,GND,1.0084615222696447,233,0.871244635193133,3
Fis_159136,21.86884446267504,355,GND,1.0372653291810705,372,0.9543010752688172,3
Fis_159582,513.1001152864701,987,GND,1.8743901470039748,1370,0.7204379562043796,3
Fis_159583,431.8365393166905,902,GND,1.7359059741310692,1177,0.7663551401869159,3
Fis_159584,208.5454062029603,502,GND,1.3553875498543897,576,0.8715277777777778,3
